mixing,inc.num.mid,inc.num0.mid,inc.num.lo,inc.num0.lo,inc.num.hi,inc.num0.hi,inc.txt,inc0.txt,bc.inc.num.mid,bc.inc.num0.mid,pcbc,pcbc0
assortative,898764.538293291,661058.21561658,657027.051244437,503705.9972943,1241949.89013309,869380.664818468,899 000 (657 000 to 1 240 000),661 000 (504 000 to 869 000),1026023.22715263,754962.977123758,87.5968998077654,87.5616733068243
random,778148.17696146,575765.737013705,577021.997539386,443737.656610492,1069013.39013526,755877.310816081,778 000 (577 000 to 1 070 000),576 000 (444 000 to 756 000),904066.329463192,668714.059337684,86.0720227711059,86.1004384420992
