mixing,TBI,TBI1,TBI2
assortative,91 000 000 (83 900 000 to 99 300 000),6 380 000 (4 970 000 to 8 430 000),12 300 000 (10 100 000 to 15 100 000)
random,88 800 000 (82 000 000 to 96 900 000),5 610 000 (4 390 000 to 7 380 000),11 000 000 (9 020 000 to 13 300 000)
