Country,pcthin,RR,RR.lo,RR.hi,RR.sd
Angola,8,1.44428390551246,1.42955434353434,1.45913318130748,0.0075456218809028
Bangladesh,18,1.87647046726095,1.84366198895068,1.90980034221088,0.0168720288929095
Brazil,3,1.08161569726753,1.07926501182077,1.0839657029512,0.00119915590062118
Cambodia,11,1.59515155618845,1.5744760706168,1.61605567217559,0.0106070412139774
Central African Republic,8,1.44428390551246,1.42955434353434,1.45913318130748,0.0075456218809028
China,4,1.1750136300767,1.16976185702894,1.18027645631566,0.002682295736409
Congo,8,1.44428390551246,1.42955434353434,1.45913318130748,0.0075456218809028
DPR Korea,5,1.25425062649713,1.24637371213464,1.26215905132515,0.00402687224247706
DR Congo,10,1.54790840482811,1.52913982851244,1.56686784183605,0.00962449319479892
Ethiopia,10,1.54790840482811,1.52913982851244,1.56686784183605,0.00962449319479892
Gabon,6,1.32396827195378,1.31366515561303,1.33432886098504,0.00527135341122835
India,27,2.17084520869446,2.12406790999206,2.21857093433384,0.0241079143729026
Indonesia,10,1.54790840482811,1.52913982851244,1.56686784183605,0.00962449319479892
Kenya,8,1.44428390551246,1.42955434353434,1.45913318130748,0.0075456218809028
Lesotho,6,1.32396827195378,1.31366515561303,1.33432886098504,0.00527135341122835
Liberia,7,1.38674584666513,1.37416973420603,1.39940916264173,0.00643862970298686
Mongolia,2,0.964488029584732,0.963526026175224,0.965453488992018,0.000491699698161625
Mozambique,4,1.1750136300767,1.16976185702894,1.18027645631566,0.002682295736409
Myanmar,13,1.68317141967505,1.65883910437477,1.70781155432874,0.0124929719270325
Namibia,8,1.44428390551246,1.42955434353434,1.45913318130748,0.0075456218809028
Nigeria,10,1.54790840482811,1.52913982851244,1.56686784183605,0.00962449319479892
Pakistan,19,1.91186857858658,1.87744540714848,1.94685807345247,0.0177073128326505
PNG,1,0.795811007295277,0.790829725795667,0.80083773724659,0.00255306414564382
Philippines,10,1.54790840482811,1.52913982851244,1.56686784183605,0.00962449319479892
Russian Federation,2,0.964488029584732,0.963526026175224,0.965453488992018,0.000491699698161625
Sierra Leone,7,1.38674584666513,1.37416973420603,1.39940916264173,0.00643862970298686
South Africa,4,1.1750136300767,1.16976185702894,1.18027645631566,0.002682295736409
Thailand,8,1.44428390551246,1.42955434353434,1.45913318130748,0.0075456218809028
Uganda,6,1.32396827195378,1.31366515561303,1.33432886098504,0.00527135341122835
UR Tanzania,7,1.38674584666513,1.37416973420603,1.39940916264173,0.00643862970298686
Viet Nam,14,1.72453356226921,1.69843771795607,1.75097837079755,0.0134032277656829
Zambia,6,1.32396827195378,1.31366515561303,1.33432886098504,0.00527135341122835
Zimbabwe,6,1.32396827195378,1.31366515561303,1.33432886098504,0.00527135341122835
