iso3,percentage
IND,51.3 (18.6 to 84.0)
PAK, 7.6 ( 2.6 to 12.6)
CHN, 5.8 ( 2.0 to  9.6)
IDN, 4.7 ( 1.7 to  7.8)
NGA, 4.2 ( 1.4 to  7.0)
ETH, 3.8 ( 0.8 to  6.8)
COD, 3.3 ( 1.2 to  5.5)
BGD, 3.2 ( 1.0 to  5.3)
PHL, 3.1 ( 1.2 to  5.1)
ZAF, 1.8 ( 0.6 to  2.9)
TZA, 1.6 ( 0.5 to  2.7)
KEN, 1.5 ( 0.5 to  2.6)
MOZ, 1.2 ( 0.4 to  1.9)
AGO, 1.2 ( 0.3 to  2.0)
MMR, 1.0 ( 0.3 to  1.7)
VNM, 1.0 ( 0.3 to  1.6)
UGA, 0.8 ( 0.3 to  1.3)
ZMB, 0.6 ( 0.2 to  1.0)
THA, 0.5 ( 0.1 to  0.8)
BRA, 0.4 ( 0.2 to  0.7)
CAF, 0.3 ( 0.1 to  0.5)
PRK, 0.3 ( 0.1 to  0.4)
SLE, 0.2 ( 0.1 to  0.4)
COG, 0.2 ( 0.1 to  0.3)
LBR, 0.1 ( 0.1 to  0.2)
LSO, 0.1 ( 0.0 to  0.2)
PNG, 0.1 ( 0.0 to  0.2)
NAM, 0.1 ( 0.0 to  0.1)
GAB, 0.0 ( 0.0 to  0.1)
MNG, 0.0 ( 0.0 to  0.0)
