iso3,mixing,acat,CDR0,CDR
LSO,assortative,15-19,30.7974867872423,24.3687160630416
THA,assortative,15-19,63.9328668651281,60.021519063529
KEN,assortative,15-19,74.1940410862541,61.6652241834236
MMR,assortative,15-19,84.0521936703463,66.4441459156894
IND,assortative,15-19,107.364881001784,66.4451221827715
NAM,assortative,15-19,91.9270272084569,78.5422249948743
PHL,assortative,15-19,135.595272677348,111.416458951427
CHN,assortative,15-19,108.513443305656,116.247864408342
BRA,assortative,15-19,155.81703675001,173.40288427361
