mixing,inc.num.mid,inc.num0.mid,inc.num.lo,inc.num0.lo,inc.num.hi,inc.num0.hi,inc.txt,inc0.txt
assortative,1026023.22715263,754962.977123758,773265.840912848,589861.307523915,1366810.05290203,966647.528275888,1 030 000 (773 000 to 1 370 000),755 000 (590 000 to 967 000)
random,904066.329463192,668714.059337684,691771.632412952,529801.442693177,1198339.85931357,852201.738643417,  904 000 (692 000 to 1 200 000),669 000 (530 000 to 852 000)
