iso3,mixing,acat,CDR0,CDR
THA,assortative,10-14,19.1836762961761,18.6599505903392
LSO,assortative,10-14,22.752112797631,20.262163112984
CHN,assortative,10-14,21.8065900022412,24.25033943698
KEN,assortative,10-14,33.3125331510311,28.6728647626523
IND,assortative,10-14,54.700198722261,34.9021800090009
NAM,assortative,10-14,42.500946988116,36.5273424434607
BRA,assortative,10-14,55.8351591215355,64.3614810977301
PHL,assortative,10-14,74.7370794889556,64.5870927238656
MMR,assortative,10-14,95.8646965398092,77.6530657102443
