iso3,acat,mixing,P.mid,P1.mid,P2.mid,LTBI.mid,LTBI1.mid,LTBI2.mid,P.lo,P1.lo,P2.lo,LTBI.lo,LTBI1.lo,LTBI2.lo,P.hi,P1.hi,P2.hi,LTBI.hi,LTBI1.hi,LTBI2.hi,inc.num.mid,inc.num0.mid,inc.num.lo,inc.num0.lo,inc.num.hi,inc.num0.hi,LTBI.fmt,inc.num0.fmt,inc.num.fmt,sex,notified,CDR0,CDR
BRA,15-19,assortative,0.0212784166520704,0.00140805879654232,0.00272478859467635,350699.926153265,23206.901342389,44908.5650761179,0.0177164060986465,0.00140805879654232,0.00272478859467635,291992.699085156,11353.6526711648,26015.2150604244,0.0251612513275598,0.00140805879654232,0.00272478859467635,414694.811497658,38742.6377979731,66297.0268066827,2648.82179107084,3002.82817932609,1266.24753178795,1435.22867771126,4332.01269093856,4912.97100891856,   351 000 (   292 000 to    415 000),     3 000 (  1 440 to   4 910),      2 650 (  1 270 to   4 330),B,4683,155.952979002981,176.795585712348
BRA,15-19,random,0.0201992175817669,0.00104779670280728,0.00208046069030168,332913.121784846,17269.2466881644,34289.0837407575,0.0168779755958409,0.00104779670280728,0.00208046069030168,278174.118491193,8451.85489983385,19925.7003046859,0.0239381730715307,0.00104779670280728,0.00208046069030168,394536.664344009,28839.5161279166,50376.9285859855,2062.94220576928,2338.72148199244,1025.06525381238,1162.42355748243,3314.82636599716,3757.70937111218,   333 000 (   278 000 to    395 000),     2 340 (  1 160 to   3 760),      2 060 (  1 030 to   3 310),B,4683,200.237609995799,227.00587476001
CAF,10-14,assortative,0.182937350435091,0.0158903335172084,0.0320472498072644,120312.773135347,10450.6274249295,21076.5788752432,0.146396863887802,0.0158903335172084,0.0320472498072644,96281.1182668184,5323.69962678697,12099.7770868811,0.219519434462806,0.0158903335172084,0.0320472498072644,144371.785502023,18969.2619293345,33982.4153397306,1293.43774833933,1099.11603700078,694.151593371103,577.4498933457,2412.81113819611,2032.59738159618,   120 000 (    96 300 to    144 000),     1 100 (   577 to   2 030),      1 290 (   694 to   2 410),B,,,
CAF,10-14,random,0.182937350435091,0.0158901033356455,0.0320469382912021,120312.773135347,10450.4760409606,21076.3739998515,0.146396863887802,0.0158901033356455,0.0320469382912021,96281.1182668184,5342.10443466282,12062.5175698404,0.219519434462806,0.0158901033356455,0.0320469382912021,144371.785502023,18896.1828490006,34026.2017352357,1293.12989557792,1098.83735201144,695.216850205448,577.975299106923,2426.99145974737,2043.55744100101,   120 000 (    96 300 to    144 000),     1 100 (   578 to   2 040),      1 290 (   695 to   2 430),B,,,
CAF,15-19,assortative,0.258298502593495,0.0182860705445179,0.0361960070141721,149895.270428052,10611.7358862535,21005.1943984503,0.217745659284404,0.0182860705445179,0.0361960070141721,126361.725504607,5435.23818994989,12005.9507688545,0.302751371142289,0.0182860705445179,0.0361960070141721,175692.070198551,19265.349364503,34147.4314175278,1598.31206170953,1338.09859114272,848.750749270777,708.312179180927,3023.60215888246,2465.80399972023,   150 000 (   126 000 to    176 000),     1 340 (   708 to   2 470),      1 600 (   849 to   3 020),B,,,
CAF,15-19,random,0.248789110803238,0.0149199986121382,0.0300877891518381,144376.799203113,8658.34375459879,17460.4856250164,0.210726229640364,0.0149199986121382,0.0300877891518381,122288.224132437,4418.11202971556,10049.798484587,0.293290086977674,0.0149199986121382,0.0300877891518381,170201.51669471,15852.0743473876,28370.8622242997,1343.37957520745,1124.61351823525,712.478817467197,595.123062594854,2547.05155336147,2087.25214195587,   144 000 (   122 000 to    170 000),     1 120 (   595 to   2 090),      1 340 (   712 to   2 550),B,,,
CHN,10-14,assortative,0.0337586898948394,0.00274703916725514,0.00521441769544168,2825337.16968893,229905.600306596,436405.801857471,0.0260094822809596,0.00274703916725514,0.00521441769544168,2176789.362433,127838.58357176,271557.816049658,0.0413834504808022,0.00274703916725514,0.00521441769544168,3463469.73823962,378367.112804321,665705.925385431,22234.4977288294,24726.2165760483,11825.0962103936,13157.1741066578,38715.6167141503,43079.4887137087, 2 830 000 ( 2 180 000 to  3 460 000),    24 700 ( 13 200 to  43 100),     22 200 ( 11 800 to  38 700),B,5392,21.8068137655282,24.2506040197558
CHN,10-14,random,0.0337586898948394,0.00274704927865033,0.00521442639007324,2825337.16968893,229906.446550949,436406.529529836,0.0260094822809596,0.00274704927865033,0.00521442639007324,2176789.362433,127690.171546376,271356.235294617,0.0413834504808022,0.00274704927865033,0.00521442639007324,3463469.73823962,378572.931798274,666012.150481815,22233.3612402317,24725.8214922093,11850.6218484256,13173.9591301362,38712.4484253934,43070.2170956004, 2 830 000 ( 2 180 000 to  3 460 000),    24 700 ( 13 200 to  43 100),     22 200 ( 11 900 to  38 700),B,5392,21.8071622077306,24.2518436224707
CHN,15-19,assortative,0.0530506808064457,0.00357853707523904,0.00663662686518587,4393740.35565461,296380.037403283,549655.816659111,0.0433842720245193,0.00357853707523904,0.00663662686518587,3593153.26207213,164486.290681722,341837.16463316,0.0627635521399307,0.00357853707523904,0.00663662686518587,5198175.55042461,487014.572487619,838790.920137418,35405.8300295257,38017.4576284609,18924.6228700823,20319.6116330282,59891.9753157355,64337.2372732273, 4 390 000 ( 3 590 000 to  5 200 000),    38 000 ( 20 300 to  64 300),     35 400 ( 18 900 to  59 900),B,41372,108.823689380607,116.850812325255
CHN,15-19,random,0.0506482349864088,0.00270911270117237,0.00514242489033538,4194766.0354139,224372.950963361,425903.672170105,0.0414369429444523,0.00270911270117237,0.00514242489033538,3431872.42203831,124459.106682166,264555.177520482,0.0601663068842183,0.00270911270117237,0.00514242489033538,4983067.63625493,369570.589143348,650065.030499464,27954.4863031833,30016.0831193691,14958.0073219022,16057.7964661001,47919.6838089484,51438.3090583466, 4 190 000 ( 3 430 000 to  4 980 000),    30 000 ( 16 100 to  51 400),     28 000 ( 15 000 to  47 900),B,41372,137.83277396811,147.997711534727
COD,10-14,assortative,0.171003043109819,0.0129415092480085,0.0258363289841792,1902201.08589936,143958.566450358,287397.768809278,0.145405058056083,0.0129415092480085,0.0258363289841792,1617454.60372839,75544.4814093726,176373.112376023,0.201708401702081,0.0129415092480085,0.0258363289841792,2243760.89322758,237220.578127318,445440.967388468,18470.7568530796,15702.5671867591,9562.12677344155,8168.62141427293,30907.1997117223,26326.2399298954, 1 900 000 ( 1 620 000 to  2 240 000),    15 700 (  8 170 to  26 300),     18 500 (  9 560 to  30 900),B,,,
COD,10-14,random,0.171003043109819,0.0129424361217582,0.025838846100078,1902201.08589936,143968.876794672,287425.768665356,0.145405058056083,0.0129424361217582,0.025838846100078,1617454.60372839,76154.1306931717,176533.892333076,0.201708401702081,0.0129424361217582,0.025838846100078,2243760.89322758,236736.43220714,445338.462431788,18471.2021436842,15705.6606361009,9604.27328669077,8174.80952398661,31034.6127099366,26437.1913141858, 1 900 000 ( 1 620 000 to  2 240 000),    15 700 (  8 170 to  26 400),     18 500 (  9 600 to  31 000),B,,,
COD,15-19,assortative,0.244637133478922,0.0144005012222252,0.0282992796758853,2228721.34669002,131193.102292356,257815.352120413,0.2137246939043,0.0144005012222252,0.0282992796758853,1947099.28474675,69897.3878029621,157026.682757128,0.285530134206753,0.0144005012222252,0.0282992796758853,2601269.46461579,214417.965153004,401613.052635406,19763.183777454,16659.2596360236,10128.8973283084,8530.53911646364,33082.3048444845,27802.2790317694, 2 230 000 ( 1 950 000 to  2 600 000),    16 700 (  8 530 to  27 800),     19 800 ( 10 100 to  33 100),B,,,
