mixing,P,P1,P2
assortative,11.3 (10.4 to 12.4),0.8 (0.6 to 1),1.5 (1.3 to 1.9)
random,11.1 (10.2 to 12.1),0.7 (0.5 to 0.9),1.4 (1.1 to 1.7)
