mixing,acat,P,P1,P2
assortative,10-14,9.1 (8.3 to 9.9),0.7 (0.6 to 0.9),1.4 (1.2 to 1.7)
random,10-14,9.1 (8.3 to 9.9),0.7 (0.6 to 0.9),1.4 (1.2 to 1.7)
assortative,15-19,13.7 (12.6 to 14.9),0.9 (0.7 to 1.2),1.7 (1.4 to 2.1)
random,15-19,13.1 (12.1 to 14.3),0.7 (0.5 to 0.9),1.3 (1.1 to 1.6)
